"u","Points:0","Points:1","Points:2"
4.6720000019e+02,1.0000000000e+00,5.1999998093e-01,0.0000000000e+00
5.0489836485e+02,5.0000000000e-01,7.5000000000e-01,0.0000000000e+00
4.7034855407e+02,7.5000000000e-01,7.5000000000e-01,0.0000000000e+00
4.6752066994e+02,7.5000000000e-01,7.6999998093e-01,0.0000000000e+00
5.0489836485e+02,5.0000000000e-01,7.5000000000e-01,0.0000000000e+00
4.6752066994e+02,7.5000000000e-01,7.6999998093e-01,0.0000000000e+00
4.6720000019e+02,5.1999998093e-01,1.0000000000e+00,0.0000000000e+00
5.0489836485e+02,5.0000000000e-01,7.5000000000e-01,0.0000000000e+00
4.6720000019e+02,5.1999998093e-01,1.0000000000e+00,0.0000000000e+00
4.7000000000e+02,5.0000000000e-01,1.0000000000e+00,0.0000000000e+00
4.3500000000e+02,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
4.6720000019e+02,5.1999998093e-01,1.0000000000e+00,0.0000000000e+00
4.6752066934e+02,7.5000000000e-01,7.6999998093e-01,0.0000000000e+00
4.7034855407e+02,7.5000000000e-01,7.5000000000e-01,0.0000000000e+00
4.6752066994e+02,7.6999998093e-01,7.5000000000e-01,0.0000000000e+00
4.6752066994e+02,7.5000000000e-01,7.6999998093e-01,0.0000000000e+00
4.6752066934e+02,7.6999998093e-01,7.5000000000e-01,0.0000000000e+00
4.3500000000e+02,1.0000000000e+00,7.5000000000e-01,0.0000000000e+00
4.0000000000e+02,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00
4.6752066934e+02,7.6999998093e-01,7.5000000000e-01,0.0000000000e+00
4.0000000000e+02,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00
4.6752066934e+02,7.5000000000e-01,7.6999998093e-01,0.0000000000e+00
4.0000000000e+02,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00
4.3500000000e+02,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
4.6752066934e+02,7.5000000000e-01,7.6999998093e-01,0.0000000000e+00
