"ls","u","Points:0","Points:1","Points:2"
1.020000e+00,4.200000e+02,0.000000e+00,0.000000e+00,0.000000e+00
7.700000e-01,4.150000e+02,2.500000e-01,0.000000e+00,0.000000e+00
7.700000e-01,4.150000e+02,2.500000e-01,5.000000e-01,0.000000e+00
1.020000e+00,4.200000e+02,0.000000e+00,5.000000e-01,0.000000e+00
7.700000e-01,4.150000e+02,2.500000e-01,0.000000e+00,0.000000e+00
5.200000e-01,4.100000e+02,5.000000e-01,0.000000e+00,0.000000e+00
5.200000e-01,4.100000e+02,5.000000e-01,5.000000e-01,0.000000e+00
7.700000e-01,4.150000e+02,2.500000e-01,5.000000e-01,0.000000e+00
5.200000e-01,4.100000e+02,5.000000e-01,0.000000e+00,0.000000e+00
2.700000e-01,4.050000e+02,7.500000e-01,0.000000e+00,0.000000e+00
2.700000e-01,4.050000e+02,7.500000e-01,5.000000e-01,0.000000e+00
5.200000e-01,4.100000e+02,5.000000e-01,5.000000e-01,0.000000e+00
2.700000e-01,4.050000e+02,7.500000e-01,0.000000e+00,0.000000e+00
2.000000e-02,4.000000e+02,1.000000e+00,0.000000e+00,0.000000e+00
2.000000e-02,4.000000e+02,1.000000e+00,5.000000e-01,0.000000e+00
2.700000e-01,4.050000e+02,7.500000e-01,5.000000e-01,0.000000e+00
