"u","Points:0","Points:1","Points:2"
5.0000000000e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.8750000000e+02,2.5000000000e-01,0.0000000000e+00,0.0000000000e+00
4.7500000000e+02,2.5000000000e-01,2.5000000000e-01,0.0000000000e+00
4.8750000000e+02,0.0000000000e+00,2.5000000000e-01,0.0000000000e+00
4.7500000000e+02,5.0000000000e-01,0.0000000000e+00,0.0000000000e+00
4.6250000000e+02,5.0000000000e-01,2.5000000000e-01,0.0000000000e+00
4.6250000000e+02,7.5000000000e-01,0.0000000000e+00,0.0000000000e+00
4.5000000000e+02,7.5000000000e-01,2.5000000000e-01,0.0000000000e+00
4.5000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.3750000000e+02,1.0000000000e+00,2.5000000000e-01,0.0000000000e+00
4.6250000000e+02,2.5000000000e-01,5.0000000000e-01,0.0000000000e+00
4.7500000000e+02,0.0000000000e+00,5.0000000000e-01,0.0000000000e+00
4.5000000000e+02,5.0000000000e-01,5.0000000000e-01,0.0000000000e+00
4.3750000000e+02,7.5000000000e-01,5.0000000000e-01,0.0000000000e+00
4.2500000000e+02,1.0000000000e+00,5.0000000000e-01,0.0000000000e+00
4.5000000000e+02,2.5000000000e-01,7.5000000000e-01,0.0000000000e+00
4.6250000000e+02,0.0000000000e+00,7.5000000000e-01,0.0000000000e+00
4.3750000000e+02,5.0000000000e-01,7.5000000000e-01,0.0000000000e+00
4.2500000000e+02,7.5000000000e-01,7.5000000000e-01,0.0000000000e+00
4.1250000000e+02,1.0000000000e+00,7.5000000000e-01,0.0000000000e+00
4.3750000000e+02,2.5000000000e-01,1.0000000000e+00,0.0000000000e+00
4.5000000000e+02,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00
4.2500000000e+02,5.0000000000e-01,1.0000000000e+00,0.0000000000e+00
4.1250000000e+02,7.5000000000e-01,1.0000000000e+00,0.0000000000e+00
4.0000000000e+02,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00
