"u","Points:0","Points:1","Points:2"
6.2000022415e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.6500038389e+02,2.5000000000e-01,0.0000000000e+00,0.0000000000e+00
5.6500038389e+02,2.5000000000e-01,5.0000000000e-01,0.0000000000e+00
6.2000022415e+02,0.0000000000e+00,5.0000000000e-01,0.0000000000e+00
5.6500038389e+02,2.5000000000e-01,0.0000000000e+00,0.0000000000e+00
5.1000101761e+02,5.0000000000e-01,0.0000000000e+00,0.0000000000e+00
5.1000101761e+02,5.0000000000e-01,5.0000000000e-01,0.0000000000e+00
5.6500038389e+02,2.5000000000e-01,5.0000000000e-01,0.0000000000e+00
5.1000101761e+02,5.0000000000e-01,0.0000000000e+00,0.0000000000e+00
4.5500270311e+02,7.5000000000e-01,0.0000000000e+00,0.0000000000e+00
4.5500270311e+02,7.5000000000e-01,5.0000000000e-01,0.0000000000e+00
5.1000101761e+02,5.0000000000e-01,5.0000000000e-01,0.0000000000e+00
4.5500270311e+02,7.5000000000e-01,0.0000000000e+00,0.0000000000e+00
4.3960194663e+02,8.1999999285e-01,0.0000000000e+00,0.0000000000e+00
4.3960194663e+02,8.1999999285e-01,5.0000000000e-01,0.0000000000e+00
4.5500270311e+02,7.5000000000e-01,5.0000000000e-01,0.0000000000e+00
4.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0000000000e+02,1.0000000000e+00,5.0000000000e-01,0.0000000000e+00
4.3959864694e+02,8.1999999285e-01,5.0000000000e-01,0.0000000000e+00
4.3959864694e+02,8.1999999285e-01,0.0000000000e+00,0.0000000000e+00
