"u","Points:0","Points:1","Points:2"
6.0001345292e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.5001944895e+02,1.2500000000e+00,0.0000000000e+00,0.0000000000e+00
5.5001944895e+02,1.2500000000e+00,5.0000000000e-01,0.0000000000e+00
6.0001345292e+02,1.0000000000e+00,5.0000000000e-01,0.0000000000e+00
5.5001944895e+02,1.2500000000e+00,0.0000000000e+00,0.0000000000e+00
5.0003096538e+02,1.5000000000e+00,0.0000000000e+00,0.0000000000e+00
5.0003096538e+02,1.5000000000e+00,5.0000000000e-01,0.0000000000e+00
5.5001944895e+02,1.2500000000e+00,5.0000000000e-01,0.0000000000e+00
5.0003096538e+02,1.5000000000e+00,0.0000000000e+00,0.0000000000e+00
4.5001321200e+02,1.7500000000e+00,0.0000000000e+00,0.0000000000e+00
4.5001321200e+02,1.7500000000e+00,5.0000000000e-01,0.0000000000e+00
5.0003096538e+02,1.5000000000e+00,5.0000000000e-01,0.0000000000e+00
4.5001321200e+02,1.7500000000e+00,0.0000000000e+00,0.0000000000e+00
4.3200845497e+02,1.8400000334e+00,0.0000000000e+00,0.0000000000e+00
4.3200845497e+02,1.8400000334e+00,5.0000000000e-01,0.0000000000e+00
4.5001321200e+02,1.7500000000e+00,5.0000000000e-01,0.0000000000e+00
4.0000000000e+02,2.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0000000000e+02,2.0000000000e+00,5.0000000000e-01,0.0000000000e+00
4.3197384105e+02,1.8400000334e+00,5.0000000000e-01,0.0000000000e+00
4.3197384105e+02,1.8400000334e+00,0.0000000000e+00,0.0000000000e+00
